Date,Total CPI,Food and non-alcoholic beverages,"Alcoholic beverages, tobacco and narcotics",Clothing and footwear,"Housing, water, electricity, and fuel",Household goods and services,Health,Transportation,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All items (non-food non-energy),Energy,Services,Services less housing,Housing excluding imputed rentals for housing,Actual rentals for housing,Water supply and misc. services relating to dwelling,"Electricity, gas and other fuels",Maintenance and repair of the dwelling
2011-04-01,94.16417545,92.21726,63.9859,86.7581,89.27557,91.72078,96.49509,107.4009,103.9413,98.72185999999999,94.39347,93.37749000000001,96.8194,92.72281,110.9824,93.59099,95.26258,87.48210999999999,88.15095,84.4205,95.16502,86.14743
2011-05-01,94.34549353,91.26543000000001,64.88377,87.77995,89.96648,92.34506999999999,96.49509,107.0999,103.9413,99.20818,94.39347,93.73649,97.47851999999999,93.08673,111.3887,93.77427,95.44846,87.8226,88.57845,83.84645,96.99136999999999,87.06168000000001
2011-06-01,94.5278658,91.95829,64.81963,87.86494,90.22675,92.70227,96.8762,106.5978,103.9413,98.91598,94.48574,93.91654,97.47851999999999,93.26764,110.8801,93.95755,95.63541,88.07741999999999,89.00698,83.68226,97.17409,87.8923
2011-07-01,94.98326937,93.68817,64.81963,88.29089,90.39819,92.70227,96.9707,107.90299999999999,103.9413,99.4023,94.48574,94.18551,97.47851999999999,93.4496,111.8981,94.23193,95.91424,88.24658000000001,89.26348,83.68226,97.08359,88.22453
2011-08-01,95.6210452,96.54252,64.9479,88.37586,90.83091,92.7913,97.16176999999999,108.405,103.9413,99.20818,94.57904,94.54562,97.57269000000001,93.63156,112.81299999999999,94.41414,96.00825,88.67165,89.60651999999999,84.17484,97.81276,88.30818000000001
2011-09-01,95.52933198,96.28242,64.9479,88.37586,91.09014,93.32656,97.2573,108.204,101.9521,98.81891999999999,94.57904,94.63564000000001,97.66685,93.54058,112.9152,94.23193,95.72836,88.92648,89.94955999999999,84.09335,98.08684000000001,88.64043000000001
2011-10-01,95.34801389,94.03345999999999,64.9479,87.94991,91.86884,93.32656,97.2573,108.9061,101.6388,98.72185999999999,94.67233,94.72567,97.57269000000001,93.54058,114.8481,94.32197,95.8213,89.26588000000001,90.3781,84.09335,100.0968,88.80655
2011-11-01,95.43867293,93.77449,64.9479,90.24857,92.12807,93.4156,97.2573,108.7061,100.6961,98.62378000000001,94.76358,94.45559,97.76212,93.72149,114.7458,94.41414,95.72836,89.68987,90.8056,84.4205,100.0968,89.05514000000001
2011-12-01,95.80236328,95.15907,64.88377,90.24857,92.47404,93.86182,97.3518,108.7061,100.3828,98.72185999999999,94.85687,94.63564000000001,98.13765,93.90345,114.1359,94.59635,95.91424,90.03036,91.06314,85.40689,100.2795,89.22126
2012-01-01,96.18502878,96.87191,64.9541,90.215,92.84481,94.57515,98.45567,109.1471,100.3828,99.04337,95.11728000000001,94.90460999999999,95.91545,94.12138,114.4204,94.77963000000001,95.98902,90.49773,91.3457,86.54759,100.3341,89.63715
2012-02-01,96.54977331,96.53343000000001,65.4351,90.99765,93.55329,95.27131999999999,98.789,110.2922,100.3828,98.80881,95.40536999999999,94.97575,96.38736999999999,94.48531,115.8652,95.05294,96.1108,91.23618,91.59385999999999,89.86599,100.5724,89.81976999999999
2012-03-01,96.57718186,97.48526,65.3389,91.02387,93.86415,95.4762,98.86480999999999,111.9584,100.3828,98.44887,94.79228,94.33778000000001,93.03413,94.2039,117.2788,94.6703,95.53179,91.61787,92.00571,89.89931999999999,100.8089,90.2769
2012-04-01,96.56769428,97.11385,65.42165,90.64828,93.95917,94.96775,97.50446,112.5404,100.3828,99.11111,95.26594,94.43781,93.43848,94.17639,118.0007,94.85252,95.74758,91.6786,92.3644,89.0117,100.8729,90.58322
2012-05-01,96.74057897,96.94915,65.23029,92.1475,94.06348,95.4762,97.67475999999999,112.3094,100.3828,99.2476,95.54378,94.60786,93.49497,94.4578,117.726,94.98006,95.88753,91.79679,92.648,88.44505,100.919,91.26538000000001
2012-06-01,96.60353623,96.41303,65.4351,92.76124,94.19256999999999,95.49443000000001,97.81806,111.0953,100.3828,98.40134,95.60016,94.70676999999999,93.5138,94.5583,116.09899999999999,95.09903,95.98902,91.93342,92.86176,88.17345999999999,101.0565,91.52221999999999
2012-07-01,96.38532202,95.75539,65.3389,92.7518,94.6852,95.12865,97.20019,109.1471,100.3828,99.71471,95.76727,94.83348000000001,92.32738,94.56676,114.5022,95.31876,96.25929000000001,92.00932,93.02441,87.87841,102.7633,91.73899999999999
2012-08-01,96.83123801,96.95824,65.67197,92.7518,95.07455,95.14581,97.17111,110.3922,100.3828,99.43262,96.17532,94.97575,92.93001,94.72122,116.2012,95.49239,96.39924,92.2815,93.19541,88.46234,103.5676,91.87213
2012-09-01,97.52383094,100.4964,65.99885,92.76124,95.10038,95.74436,97.26665,111.4863,100.3828,99.01304,96.27681,95.01241999999999,94.36236,94.8122,118.0007,95.43773,96.34369000000001,92.25548,93.35911,87.71545,103.7222,92.11248
2012-10-01,97.34145868,98.88688,66.03815,92.34264,95.3689,95.15545999999999,97.27599000000001,111.4363,100.3828,99.37298,96.32396999999999,95.10245,94.49306999999999,94.8577,118.0007,95.59314,96.46441,92.56126,93.55618,88.10061999999999,103.9049,93.17519
2012-11-01,96.9956893,96.4562,66.03090999999999,93.87541999999999,95.47114,95.2091,97.32271999999999,110.4322,100.3828,98.70264,96.40701,95.12023,94.19176,95.00263000000001,116.5667,95.59314,96.41847,92.74019,93.79599,87.96853,103.8588,93.36723
2012-12-01,97.16857399,97.15701,66.10229,93.87541999999999,95.78407,94.65668000000001,97.34245,110.1212,100.3828,99.2658,96.4716,95.21915,94.61604,95.14757,116.0679,95.785,96.53064,93.20755,94.0014,89.35736999999999,103.805,93.37546999999999
2013-01-01,97.75153273,99.14699,66.56259,93.85024,96.3366,94.78111,98.22721,110.4322,100.3828,99.2375,97.04778,95.58704,94.57836999999999,95.52948,116.2413,96.22336999999999,96.9868,93.58057,94.19846,90.77831,104.6631,93.59108
2013-02-01,98.07832695,99.67402,66.56259,94.04538000000001,96.80238,95.49443000000001,98.27498,110.9743,100.3828,99.11111,97.35432,95.85712,94.80436,95.77492,116.8618,96.5074,97.15451999999999,94.23444,94.36112,93.15847,104.6998,93.67473000000001
2013-03-01,97.98766791,98.70628,66.71051,94.02125,97.4427,95.38716,98.34248000000001,111.8174,100.3828,99.22738000000001,96.52799,95.85712,93.47614,95.63844,118.7645,96.32412,96.86501,94.46432,94.61032,93.27450999999999,106.5902,93.80785999999999
